Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Freq],[Location],[Mode of transportation],[Nature],[Observation Status],[Reporting Type],[Sex],[Type of mobile technology],[Units]
9.0,9.c,9.c.1,IT_MOB_2GNTWK,Proportion of population covered by at least a 2G mobile network (%),420.0,Latin America,2021.0,94.13164,2021.0,,,,,"Data based on the World Telecommunication/ICT Indicators Database, 2022, International Telecommunication Union (ITU)",,,,,,,,N,,G,,,PERCENT
9.0,9.c,9.c.1,IT_MOB_3GNTWK,Proportion of population covered by at least a 3G mobile network (%),420.0,Latin America,2014.0,,2014.0,,,,,"Data based on the World Telecommunication/ICT Indicators Database, 2022, International Telecommunication Union (ITU)",,NaN = Data not available,,,,,,N,,G,,,PERCENT
9.0,9.c,9.c.1,IT_MOB_3GNTWK,Proportion of population covered by at least a 3G mobile network (%),420.0,Latin America,2015.0,88.74,2015.0,,,,,"Data based on the World Telecommunication/ICT Indicators Database, 2022, International Telecommunication Union (ITU)",,,,,,,,N,,G,,,PERCENT
9.0,9.c,9.c.1,IT_MOB_3GNTWK,Proportion of population covered by at least a 3G mobile network (%),420.0,Latin America,2016.0,91.14,2016.0,,,,,"Data based on the World Telecommunication/ICT Indicators Database, 2022, International Telecommunication Union (ITU)",,,,,,,,N,,G,,,PERCENT
9.0,9.c,9.c.1,IT_MOB_3GNTWK,Proportion of population covered by at least a 3G mobile network (%),420.0,Latin America,2017.0,92.18,2017.0,,,,,"Data based on the World Telecommunication/ICT Indicators Database, 2022, International Telecommunication Union (ITU)",,,,,,,,N,,G,,,PERCENT
9.0,9.c,9.c.1,IT_MOB_3GNTWK,Proportion of population covered by at least a 3G mobile network (%),420.0,Latin America,2018.0,92.55,2018.0,,,,,"Data based on the World Telecommunication/ICT Indicators Database, 2022, International Telecommunication Union (ITU)",,,,,,,,N,,G,,,PERCENT
9.0,9.c,9.c.1,IT_MOB_3GNTWK,Proportion of population covered by at least a 3G mobile network (%),420.0,Latin America,2019.0,92.22,2019.0,,,,,"Data based on the World Telecommunication/ICT Indicators Database, 2022, International Telecommunication Union (ITU)",,,,,,,,N,,G,,,PERCENT
9.0,9.c,9.c.1,IT_MOB_3GNTWK,Proportion of population covered by at least a 3G mobile network (%),420.0,Latin America,2020.0,92.27,2020.0,,,,,"Data based on the World Telecommunication/ICT Indicators Database, 2022, International Telecommunication Union (ITU)",,,,,,,,N,,G,,,PERCENT
9.0,9.c,9.c.1,IT_MOB_3GNTWK,Proportion of population covered by at least a 3G mobile network (%),420.0,Latin America,2021.0,92.38,2021.0,,,,,"Data based on the World Telecommunication/ICT Indicators Database, 2022, International Telecommunication Union (ITU)",,,,,,,,N,,G,,,PERCENT
9.0,9.c,9.c.1,IT_MOB_4GNTWK,Proportion of population covered by at least a 4G mobile network (%),420.0,Latin America,2014.0,,2014.0,,,,,"Data based on the World Telecommunication/ICT Indicators Database, 2022, International Telecommunication Union (ITU)",,NaN = Data not available,,,,,,N,,G,,,PERCENT
9.0,9.c,9.c.1,IT_MOB_4GNTWK,Proportion of population covered by at least a 4G mobile network (%),420.0,Latin America,2015.0,59.68,2015.0,,,,,"Data based on the World Telecommunication/ICT Indicators Database, 2022, International Telecommunication Union (ITU)",,,,,,,,N,,G,,,PERCENT
9.0,9.c,9.c.1,IT_MOB_4GNTWK,Proportion of population covered by at least a 4G mobile network (%),420.0,Latin America,2016.0,67.49,2016.0,,,,,"Data based on the World Telecommunication/ICT Indicators Database, 2022, International Telecommunication Union (ITU)",,,,,,,,N,,G,,,PERCENT
9.0,9.c,9.c.1,IT_MOB_4GNTWK,Proportion of population covered by at least a 4G mobile network (%),420.0,Latin America,2017.0,73.5,2017.0,,,,,"Data based on the World Telecommunication/ICT Indicators Database, 2022, International Telecommunication Union (ITU)",,,,,,,,N,,G,,,PERCENT
9.0,9.c,9.c.1,IT_MOB_4GNTWK,Proportion of population covered by at least a 4G mobile network (%),420.0,Latin America,2018.0,81.79,2018.0,,,,,"Data based on the World Telecommunication/ICT Indicators Database, 2022, International Telecommunication Union (ITU)",,,,,,,,N,,G,,,PERCENT
9.0,9.c,9.c.1,IT_MOB_4GNTWK,Proportion of population covered by at least a 4G mobile network (%),420.0,Latin America,2019.0,85.19,2019.0,,,,,"Data based on the World Telecommunication/ICT Indicators Database, 2022, International Telecommunication Union (ITU)",,,,,,,,N,,G,,,PERCENT
9.0,9.c,9.c.1,IT_MOB_4GNTWK,Proportion of population covered by at least a 4G mobile network (%),420.0,Latin America,2020.0,86.64,2020.0,,,,,"Data based on the World Telecommunication/ICT Indicators Database, 2022, International Telecommunication Union (ITU)",,,,,,,,N,,G,,,PERCENT
9.0,9.c,9.c.1,IT_MOB_4GNTWK,Proportion of population covered by at least a 4G mobile network (%),420.0,Latin America,2021.0,87.84,2021.0,,,,,"Data based on the World Telecommunication/ICT Indicators Database, 2022, International Telecommunication Union (ITU)",,,,,,,,N,,G,,,PERCENT
,,,,,,,,,,,,,,,,,,,,,,,,,,,
