Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Bioclimatic belt],[Freq],[Land cover],[Level/Status],[Location],[Mountain Elevation],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
15.0,15.1,15.1.2,ER_PTD_TERR,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),858.0,Uruguay,2005.0,6.3197,2005,,6.3197,6.3197,,"BirdLife International, IUCN and UNEP-WCMC (2023). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.2,ER_PTD_TERR,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),858.0,Uruguay,2006.0,6.3197,2006,,6.3197,6.3197,,"BirdLife International, IUCN and UNEP-WCMC (2023). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.2,ER_PTD_TERR,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),858.0,Uruguay,2007.0,6.3197,2007,,6.3197,6.3197,,"BirdLife International, IUCN and UNEP-WCMC (2023). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.2,ER_PTD_TERR,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),858.0,Uruguay,2008.0,7.18633,2008,,7.18633,7.18633,,"BirdLife International, IUCN and UNEP-WCMC (2023). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.2,ER_PTD_TERR,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),858.0,Uruguay,2009.0,7.40746,2009,,7.40746,7.40746,,"BirdLife International, IUCN and UNEP-WCMC (2023). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.2,ER_PTD_TERR,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),858.0,Uruguay,2010.0,11.95709,2010,,11.95709,11.95709,,"BirdLife International, IUCN and UNEP-WCMC (2023). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.2,ER_PTD_TERR,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),858.0,Uruguay,2011.0,12.58584,2011,,12.58584,12.58584,,"BirdLife International, IUCN and UNEP-WCMC (2023). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.2,ER_PTD_TERR,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),858.0,Uruguay,2012.0,12.58584,2012,,12.58584,12.58584,,"BirdLife International, IUCN and UNEP-WCMC (2023). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.2,ER_PTD_TERR,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),858.0,Uruguay,2013.0,12.61391,2013,,12.61391,12.61391,,"BirdLife International, IUCN and UNEP-WCMC (2023). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,,,,,,,,C,A,G,,PERCENT
15.0,15.1,15.1.2,ER_PTD_TERR,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),858.0,Uruguay,2014.0,17.21303,2014,,17.21303,17.21303,,"BirdLife International, IUCN and UNEP-WCMC (2023). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,,,,,,,,C,A,G,,PERCENT
