Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Freq],[Location],[Mode of transportation],[Nature],[Observation Status],[Reporting Type],[Sex],[Type of mobile technology],[Units]
9.0,9.1,9.1.2,IS_RDP_PORFVOL,"Container port traffic, maritime transport (twenty-foot equivalent units - TEUs)",600.0,Paraguay,2018.0,38007.0,2018.0,,,,,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",,,,,,,SEA,E,,G,,,TEU
9.0,9.1,9.1.2,IS_RDP_PORFVOL,"Container port traffic, maritime transport (twenty-foot equivalent units - TEUs)",600.0,Paraguay,2019.0,37796.0,2019.0,,,,,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",,,,,,,SEA,E,,G,,,TEU
9.0,9.1,9.1.2,IS_RDP_PORFVOL,"Container port traffic, maritime transport (twenty-foot equivalent units - TEUs)",600.0,Paraguay,2020.0,37901.0,2020.0,,,,,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",,,,,,,SEA,E,,G,,,TEU
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2000.0,968.54,2000.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2001.0,945.89,2001.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2002.0,919.38,2002.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2003.0,914.59,2003.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2004.0,933.73,2004.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2005.0,948.07,2005.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2006.0,961.92,2006.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2007.0,940.58,2007.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2008.0,949.61,2008.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2009.0,904.19,2009.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2010.0,937.61,2010.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2011.0,962.82,2011.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2012.0,979.45,2012.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2013.0,1040.08,2013.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2014.0,1097.23,2014.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2015.0,1138.08,2015.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2016.0,1173.3,2016.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2017.0,1228.83,2017.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2018.0,1240.63,2018.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2019.0,1211.08,2019.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2020.0,1179.56,2020.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2021.0,1248.93,2021.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,CA,A,G,,,CON_USD
9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),600.0,Paraguay,2022.0,1242.01,2022.0,,,,2015.0,UNIDO National Accounts Database. Available at https://stat.unido.org,,,ISIC4_C,,,,,E,A,G,,,CON_USD
9.0,9.2,9.2.2,SL_TLF_MANF,Manufacturing employment as a proportion of total employment - 13th ICLS (%),600.0,Paraguay,2000.0,11.65,2000.0,,,,,HS - Continous Household Survey,,,ISIC4_C,,,,,C,A,G,,,PERCENT
9.0,9.2,9.2.2,SL_TLF_MANF,Manufacturing employment as a proportion of total employment - 13th ICLS (%),600.0,Paraguay,2001.0,11.58,2001.0,,,,,HS - Continous Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,ISIC4_C,,,,,C,A,G,,,PERCENT
9.0,9.2,9.2.2,SL_TLF_MANF,Manufacturing employment as a proportion of total employment - 13th ICLS (%),600.0,Paraguay,2002.0,10.33,2002.0,,,,,HS - Continous Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,ISIC4_C,,,,,C,A,G,,,PERCENT
9.0,9.2,9.2.2,SL_TLF_MANF,Manufacturing employment as a proportion of total employment - 13th ICLS (%),600.0,Paraguay,2003.0,10.9,2003.0,,,,,HS - Continous Household Survey,,Repository: ILO-STATISTICS - Micro data processing,ISIC4_C,,,,,C,A,G,,,PERCENT
9.0,9.2,9.2.2,SL_TLF_MANF,Manufacturing employment as a proportion of total employment - 13th ICLS (%),600.0,Paraguay,2004.0,11.41,2004.0,,,,,HS - Continous Household Survey,,Repository: ILO-STATISTICS - Micro data processing,ISIC4_C,,,,,C,A,G,,,PERCENT
9.0,9.2,9.2.2,SL_TLF_MANF,Manufacturing employment as a proportion of total employment - 13th ICLS (%),600.0,Paraguay,2005.0,9.74,2005.0,,,,,HS - Continous Household Survey,,Repository: ILO-STATISTICS - Micro data processing,ISIC4_C,,,,,C,A,G,,,PERCENT
9.0,9.2,9.2.2,SL_TLF_MANF,Manufacturing employment as a proportion of total employment - 13th ICLS (%),600.0,Paraguay,2006.0,10.52,2006.0,,,,,HS - Continous Household Survey,,Repository: ILO-STATISTICS - Micro data processing,ISIC4_C,,,,,C,A,G,,,PERCENT
9.0,9.2,9.2.2,SL_TLF_MANF,Manufacturing employment as a proportion of total employment - 13th ICLS (%),600.0,Paraguay,2007.0,12.15,2007.0,,,,,HS - Continous Household Survey,,Repository: ILO-STATISTICS - Micro data processing,ISIC4_C,,,,,C,A,G,,,PERCENT
9.0,9.2,9.2.2,SL_TLF_MANF,Manufacturing employment as a proportion of total employment - 13th ICLS (%),600.0,Paraguay,2008.0,12.36,2008.0,,,,,HS - Continous Household Survey,,Repository: ILO-STATISTICS - Micro data processing,ISIC4_C,,,,,C,A,G,,,PERCENT
9.0,9.2,9.2.2,SL_TLF_MANF,Manufacturing employment as a proportion of total employment - 13th ICLS (%),600.0,Paraguay,2009.0,11.16,2009.0,,,,,HS - Continous Household Survey,,Repository: ILO-STATISTICS - Micro data processing,ISIC4_C,,,,,C,A,G,,,PERCENT
