Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Bioclimatic belt],[Freq],[Land cover],[Level/Status],[Location],[Mountain Elevation],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),32.0,Argentina,2000.0,273669.0,2000,,,,,FAO. FAOSTAT,,,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),32.0,Argentina,2010.0,273669.0,2010,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),32.0,Argentina,2015.0,273669.0,2015,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),32.0,Argentina,2016.0,273669.0,2016,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),32.0,Argentina,2017.0,273669.0,2017,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),32.0,Argentina,2018.0,273669.0,2018,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),32.0,Argentina,2019.0,273669.0,2019,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),32.0,Argentina,2020.0,273669.0,2020,,,,,FAO. FAOSTAT,,,,,,,,,,E,I,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),32.0,Argentina,2000.0,33378.0,2000,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),32.0,Argentina,2010.0,30214.0,2010,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),32.0,Argentina,2015.0,29097.0,2015,,,,,FAO. Global Forest Resources Assessment 2020,,Officially reported data,,,,,,,,C,A,G,,HA_TH
