Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Frequency of Chlorophyll-a concentration],[Level/Status],[Nature],[Observation Status],[Reporting Type],[Sampling Stations],[Units]
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",170.0,Colombia,2021.0,8.58657,2021,,,,,World Environment Situation Room,,,High,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",170.0,Colombia,2021.0,6.13294,2021,,,,,World Environment Situation Room,,,Moderate,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",170.0,Colombia,2022.0,3.68565,2022,,,,,World Environment Situation Room,,,High,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",170.0,Colombia,2022.0,4.61282,2022,,,,,World Environment Situation Room,,,Moderate,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",170.0,Colombia,2022.0,0.90742,2022,,,,,World Environment Situation Room,,,Extreme,,E,D,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_BEALITSQ,Beach litter per square kilometer (Number),170.0,Colombia,2016.0,46909860.4264,2016,,,,,"Plastic Pollution (MLW, MDMAP, ICC)",,,,,E,A,G,,NUMBER
14.0,14.1,14.1.1,EN_MAR_BEALITSQ,Beach litter per square kilometer (Number),170.0,Colombia,2017.0,4037824.02663,2017,,,,,"Plastic Pollution (MLW, MDMAP, ICC)",,,,,E,A,G,,NUMBER
14.0,14.1,14.1.1,EN_MAR_BEALITSQ,Beach litter per square kilometer (Number),170.0,Colombia,2018.0,426618.67405,2018,,,,,"Plastic Pollution (MLW, MDMAP, ICC)",,,,,E,A,G,,NUMBER
14.0,14.1,14.1.1,EN_MAR_BEALIT_BP,Beach litter originating from national land-based sources that ends in the beach (%),170.0,Colombia,2017.0,85.66,2010-2017,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_BEALIT_BP,Beach litter originating from national land-based sources that ends in the beach (%),170.0,Colombia,2018.0,89.49,2010-2018,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_BEALIT_BP,Beach litter originating from national land-based sources that ends in the beach (%),170.0,Colombia,2019.0,90.41,2010-2019,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_BEALIT_BP,Beach litter originating from national land-based sources that ends in the beach (%),170.0,Colombia,2020.0,83.55,2010-2020,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_BEALIT_BP,Beach litter originating from national land-based sources that ends in the beach (%),170.0,Colombia,2021.0,86.74,2010-2021,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach (Tonnes),170.0,Colombia,2017.0,41534.0,2010-2017,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,TONNES
14.0,14.1,14.1.1,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach (Tonnes),170.0,Colombia,2018.0,45388.0,2010-2018,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,TONNES
14.0,14.1,14.1.1,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach (Tonnes),170.0,Colombia,2019.0,47505.0,2010-2019,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,TONNES
14.0,14.1,14.1.1,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach (Tonnes),170.0,Colombia,2020.0,45131.0,2010-2020,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,TONNES
14.0,14.1,14.1.1,EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach (Tonnes),170.0,Colombia,2021.0,47917.0,2010-2021,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,TONNES
14.0,14.1,14.1.1,EN_MAR_BEALIT_OP,Beach litter originating from national land-based sources that ends in the ocean (%),170.0,Colombia,2017.0,14.34,2010-2017,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_BEALIT_OP,Beach litter originating from national land-based sources that ends in the ocean (%),170.0,Colombia,2018.0,10.51,2010-2018,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_BEALIT_OP,Beach litter originating from national land-based sources that ends in the ocean (%),170.0,Colombia,2019.0,9.59,2010-2019,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_BEALIT_OP,Beach litter originating from national land-based sources that ends in the ocean (%),170.0,Colombia,2020.0,16.45,2010-2020,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_BEALIT_OP,Beach litter originating from national land-based sources that ends in the ocean (%),170.0,Colombia,2021.0,13.26,2010-2021,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,PERCENT
14.0,14.1,14.1.1,EN_MAR_BEALIT_OV,Beach litter originating from national land-based sources that ends in the ocean (Tonnes),170.0,Colombia,2017.0,6954.0,2010-2017,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,TONNES
14.0,14.1,14.1.1,EN_MAR_BEALIT_OV,Beach litter originating from national land-based sources that ends in the ocean (Tonnes),170.0,Colombia,2018.0,5330.0,2010-2018,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,TONNES
14.0,14.1,14.1.1,EN_MAR_BEALIT_OV,Beach litter originating from national land-based sources that ends in the ocean (Tonnes),170.0,Colombia,2019.0,5038.0,2010-2019,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,TONNES
14.0,14.1,14.1.1,EN_MAR_BEALIT_OV,Beach litter originating from national land-based sources that ends in the ocean (Tonnes),170.0,Colombia,2020.0,8883.0,2010-2020,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,TONNES
14.0,14.1,14.1.1,EN_MAR_BEALIT_OV,Beach litter originating from national land-based sources that ends in the ocean (Tonnes),170.0,Colombia,2021.0,7325.0,2010-2021,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,TONNES
14.0,14.1,14.1.1,EN_MAR_BEALIT_EXP,Exported beach litter originating from national land-based sources (Tonnes),170.0,Colombia,2017.0,48488.0,2010-2017,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,TONNES
14.0,14.1,14.1.1,EN_MAR_BEALIT_EXP,Exported beach litter originating from national land-based sources (Tonnes),170.0,Colombia,2018.0,50718.0,2010-2018,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,TONNES
14.0,14.1,14.1.1,EN_MAR_BEALIT_EXP,Exported beach litter originating from national land-based sources (Tonnes),170.0,Colombia,2019.0,52543.0,2010-2019,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,TONNES
14.0,14.1,14.1.1,EN_MAR_BEALIT_EXP,Exported beach litter originating from national land-based sources (Tonnes),170.0,Colombia,2020.0,54014.0,2010-2020,,,,,Global Model for Monitoring Marine Litter,,,,,M,,G,,TONNES
